category,dislikes,image_url,likes,page_number,scraped_at,tags,timestamp,title,url,views
Cəmiyyət,29,https://images.oxu.az/2025/11/27/aazxsHEEAHfM5Ffg1Sz5elf1BO9udKjHJnYXjOFF:600.jpg,33,12,2025-11-28T10:03:39.754099,,2025-11-27 16:06:00,Sumqayıt Dəmiryol Vağzalına gedən sərnişinlərə ŞAD XƏBƏR,https://oxu.az/cemiyyet/sumqayit-demiryol-vagzalina-geden-sernisinlere-sad-xeber,2295
Cəmiyyət,49,https://images.oxu.az/2025/11/27/xNpZFS6sNcafciVukv2woToKVGPOiWOmo2Qe57U1:600.jpg,11,12,2025-11-28T10:03:39.758108,,2025-11-27 16:05:00,"TƏBİB tabeli müəssisələrdə on ayda 77,5 milyona yaxın xidmət icra olunub",https://oxu.az/cemiyyet/tebib-tabeli-muessiselerde-on-ayda-77-5-milyona-yaxin-xidmet-icra-olunub,402
İdman,11,https://images.oxu.az/2025/11/27/2vkIcxRMlIoWvYsVGM6g1p2xLv6xLV8ZzIjvVDyN:600.jpg,46,12,2025-11-28T10:03:39.758108,,2025-11-27 16:02:00,"""Fənərbağça"" - ""Qalatasaray"" derbisinin hakimi AÇIQLANDI",https://oxu.az/idman/fenerbagca-qalatasaray-derbisinin-hakimi-aciqlandi,2062
Cəmiyyət,120,https://images.oxu.az/2025/11/27/Ok5T1KMKaVdqDm6CocJqbJl2DeUtdG9nqOBmfKlM:600.jpg,8,12,2025-11-28T10:03:39.758108,,2025-11-27 15:54:00,İrandan gələn portağallar RƏNGLƏNİR? - AQTA-dan AÇIQLAMA,https://oxu.az/cemiyyet/irandan-gelen-portagallar-renglenir-aqta-dan-aciqlama,2058
Siyasət,7,https://images.oxu.az/2025/11/27/Yld03bblGdoVlbK9lzJJRfdJMF1czY0tilZFZwRm:600.jpg,73,12,2025-11-28T10:03:39.758108,,2025-11-27 15:49:00,"Dauletxan Jiyenkulov: ""Qazaxıstanda kiril əlifbasından latına keçidlə bağlı işlər gedir""",https://oxu.az/siyaset/dauletxan-jiyenkulov-qazaxistanda-kiril-elifbasindan-latina-kecidle-bagli-isler-gedir,217
Şou-biznes,47,https://images.oxu.az/2025/11/27/GT1iQ7OxVB4L2ldFIIZs5tG0qsVpdtvwr2MzRu2K:600.jpg,18,12,2025-11-28T10:03:39.758108,,2025-11-27 15:46:00,Reper Makan Rusiya Milli Qvardiyasının elit xüsusi təyinatlı qüvvələrində xidmət edəcək,https://oxu.az/shou-biznes/reper-makan-rusiya-milli-qvardiyasinin-elit-xususi-teyinatli-quvvelerinde-xidmet-edecek,724
Cəmiyyət,59,https://images.oxu.az/2025/11/27/gnpMvxGCs4yhpoGd1u2AIyH6J0N4b8eKlD2Th5DT:600.jpg,4,12,2025-11-28T10:03:39.758108,Foto,2025-11-27 15:45:00,"4,8 milyon vətəndaş icbari tibbi sığortadan yararlanıb: Gəncədə təlim",https://oxu.az/cemiyyet/4-8-milyon-vetendas-icbari-tibbi-sigortadan-yararlanib-gencede-telim,194
Cəmiyyət,18,https://images.oxu.az/2025/11/27/HgAFXgXIPlxAKcdJA1tL7ysSHyHNCor70I82spPu:600.jpg,68,12,2025-11-28T10:03:39.758108,,2025-11-27 15:42:00,Tibbi fəaliyyətlə bağlı sertifikasiya imtahanında iştirak haqqı BİLİNDİ,https://oxu.az/cemiyyet/tibb-fealiyyetle-bagli-sertifikasiya-imtahaninda-istirak-haqqi-bilindi,8857
Dünya,7,https://images.oxu.az/2025/11/27/Chl2kMnExfJYFOMBNwQNF7grteLxeqefARFgjXa1:600.jpg,46,12,2025-11-28T10:03:39.758108,,2025-11-27 15:38:00,Venesuela Türk Hava Yolları da daxil olmaqla altı aviaşirkətin ölkəyə uçuşunu dayandırıb,https://oxu.az/dunya/venesuela-turk-hava-yollari-da-daxil-olmaqla-alti-aviasirketin-olkeye-ucusunu-dayandirib,381
Siyasət,6,https://images.oxu.az/2025/11/27/4STtsZATGYHbSBj9N4U4un2h8yzzBl7ttZibLXG8:600.jpg,44,12,2025-11-28T10:03:39.758108,,2025-11-27 15:36:00,"Alptekin Cihangir İşbilir: ""Türk dünyasında yeni intibah dövrü yaşanır""",https://oxu.az/siyaset/alptekin-cihangir-isbilir-turk-dunyasinda-yeni-intibah-dovru-yasanir,94
